# 2D free energy surface in kcal/mol from histogramming
     bin      P_Olg     P_Onuc        N          f         df
     140      2.239      3.460     1391     32.904      0.150
     141      2.239      3.555      544     32.479      0.250
     142      2.239      3.650       94     31.370      0.294
     143      2.239      3.745        8     31.554      0.429
     144      2.239      3.839        1     33.244      0.601
     145      2.370      1.565      547     28.966      0.171
     146      2.370      1.659     5798     27.122      0.095
     147      2.370      1.754     3862     28.063      0.106
     148      2.370      1.849      949     31.470      0.139
     149      2.370      1.944      298     36.391      0.263
     150      2.370      2.039     1816     39.789      0.178
     151      2.370      2.133    10548     43.643      0.091
     152      2.370      2.228     9189     46.278      0.080
     153      2.370      2.323     5171     47.476      0.080
     154      2.370      2.418     7069     47.220      0.080
     155      2.370      2.513     7016     45.654      0.085
     156      2.370      2.607     2758     43.396      0.107
     157      2.370      2.702     8124     42.839      0.085
     158      2.370      2.797     6847     43.740      0.085
     159      2.370      2.892     4190     42.967      0.093
     160      2.370      2.986     4021     41.584      0.088
     161      2.370      3.081     9191     40.819      0.083
     162      2.370      3.176     7606     40.202      0.088
     163      2.370      3.271     5427     39.373      0.087
     164      2.370      3.366     8496     38.867      0.086
     165      2.370      3.460     9171     38.595      0.088
     166      2.370      3.555     3934     38.155      0.103
     167      2.370      3.650      593     37.940      0.248
     168      2.370      3.745       16     38.141      0.328
     169      2.502      1.565     1657     25.018      0.093
     170      2.502      1.659     5647     23.549      0.084
     171      2.502      1.754     3811     24.730      0.087
     172      2.502      1.849      978     28.325      0.106
     173      2.502      1.944      305     33.602      0.164
     174      2.502      2.039     1201     38.201      0.143
     175      2.502      2.133     3881     42.375      0.092
     176      2.502      2.228     6683     45.417      0.080
     177      2.502      2.323     3201     46.873      0.080
     178      2.502      2.418     4338     46.849      0.079
     179      2.502      2.513     6829     46.110      0.079
     180      2.502      2.607     4508     44.355      0.080
     181      2.502      2.702     7472     44.089      0.078
     182      2.502      2.797     6556     44.820      0.078
     183      2.502      2.892     5878     44.110      0.079
     184      2.502      2.986     6783     43.251      0.078
     185      2.502      3.081     7884     42.796      0.078
     186      2.502      3.176     7133     42.168      0.079
     187      2.502      3.271     3703     41.600      0.080
     188      2.502      3.366     6278     41.306      0.080
     189      2.502      3.460     6902     41.003      0.080
     190      2.502      3.555     2598     40.705      0.085
     191      2.502      3.650      510     40.395      0.140
     192      2.502      3.745       11     41.969      0.601
     193      2.634      1.565     3199     22.544      0.092
     194      2.634      1.659    11163     21.396      0.084
     195      2.634      1.754     6661     22.878      0.087
     196      2.634      1.849     1545     26.841      0.105
     197      2.634      1.944      442     32.327      0.185
     198      2.634      2.039     1671     37.125      0.126
     199      2.634      2.133     5340     41.912      0.090
     200      2.634      2.228     8387     45.333      0.080
     201      2.634      2.323     5661     46.872      0.079
     202      2.634      2.418     7897     46.848      0.078
     203      2.634      2.513     8295     46.584      0.078
     204      2.634      2.607     3871     45.687      0.084
     205      2.634      2.702     6696     45.196      0.079
     206      2.634      2.797     7308     45.683      0.079
     207      2.634      2.892     5430     45.151      0.081
     208      2.634      2.986     7579     44.393      0.078
     209      2.634      3.081     8191     44.186      0.079
     210      2.634      3.176     5192     43.922      0.081
     211      2.634      3.271     3397     43.384      0.084
     212      2.634      3.366     5232     43.023      0.081
     213      2.634      3.460     5542     42.843      0.083
     214      2.634      3.555     2291     42.656      0.092
     215      2.634      3.650      465     42.423      0.147
     216      2.634      3.745       33     41.611      0.383
     217      2.765      1.565     1223     20.697      0.110
     218      2.765      1.659     3481     19.744      0.092
     219      2.765      1.754     1802     21.447      0.111
     220      2.765      1.849      411     25.894      0.192
     221      2.765      1.944      143     31.449      0.345
     222      2.765      2.039      479     36.677      0.242
     223      2.765      2.133     1954     42.066      0.114
     224      2.765      2.228     3338     45.690      0.087
     225      2.765      2.323     2476     47.525      0.082
     226      2.765      2.418     3873     47.652      0.079
     227      2.765      2.513     5971     47.508      0.078
     228      2.765      2.607     3988     47.208      0.079
     229      2.765      2.702     4978     47.009      0.078
     230      2.765      2.797     5854     47.227      0.078
     231      2.765      2.892     4874     46.995      0.079
     232      2.765      2.986     3985     46.526      0.079
     233      2.765      3.081     4712     46.280      0.079
     234      2.765      3.176     2998     46.086      0.082
     235      2.765      3.271     1996     45.542      0.083
     236      2.765      3.366     4853     45.168      0.080
     237      2.765      3.460     9304     44.891      0.079
     238      2.765      3.555     4040     44.457      0.084
     239      2.765      3.650      538     44.051      0.124
     240      2.765      3.745       56     44.137      0.318
     241      2.765      3.839        2        nan        nan
     242      2.897      1.565     1473     18.466      0.088
     243      2.897      1.659     5653     17.785      0.083
     244      2.897      1.754     3382     19.905      0.088
     245      2.897      1.849      798     24.491      0.108
     246      2.897      1.944       92     30.692      0.267
     247      2.897      2.039      181     36.710      0.252
     248      2.897      2.133      837     41.479      0.123
     249      2.897      2.228     1748     45.565      0.092
     250      2.897      2.323     1107     47.881      0.088
     251      2.897      2.418     1055     48.335      0.086
     252      2.897      2.513     1459     48.293      0.083
     253      2.897      2.607     1304     48.159      0.084
     254      2.897      2.702     1670     47.981      0.081
     255      2.897      2.797     2068     48.226      0.080
     256      2.897      2.892     1518     48.076      0.083
     257      2.897      2.986     1089     47.877      0.086
     258      2.897      3.081     1974     47.397      0.082
     259      2.897      3.176     2879     46.411      0.080
     260      2.897      3.271     2797     45.716      0.079
