#Coor		Free		+/-		Prob		+/-
 -177.50    1.3068    0.0649       0.072515       0.004714
 -172.50    1.9156    0.0908       0.039412       0.003585
 -167.50    3.0876    0.1020       0.012186       0.001245
 -162.50    4.3345    0.1108       0.003496       0.000388
 -157.50    5.9516    0.1271       0.000692        8.8e-05
 -152.50    7.2778    0.1459       0.000183        2.7e-05
 -147.50    8.7668    0.1780        4.1e-05          7e-06
 -142.50   10.3256    0.1815          9e-06          2e-06
 -137.50   11.4716    0.1725          3e-06              0
 -132.50   12.0974    0.1969          1e-06              0
 -127.50   12.6400    0.2380          1e-06              0
 -122.50   12.6306    0.2262          1e-06              0
 -117.50   12.3151    0.2487          1e-06              0
 -112.50   11.9119    0.2370          2e-06              0
 -107.50   10.8173    0.2185          5e-06          1e-06
 -102.50    9.4245    0.2357        2.1e-05          5e-06
  -97.50    7.9882    0.2265          9e-05          2e-05
  -92.50    6.5610    0.2342       0.000376        8.8e-05
  -87.50    5.0321    0.2300       0.001738         0.0004
  -82.50    4.0270    0.2464       0.004757       0.001174
  -77.50    3.1860    0.2571       0.011043       0.002844
  -72.50    2.5879    0.2581       0.020102       0.005196
  -67.50    2.2486    0.2379       0.028235       0.006727
  -62.50    2.5726    0.2483       0.020411       0.005075
  -57.50    2.6884    0.2332       0.018176       0.004245
  -52.50    3.3636    0.2371       0.009243       0.002195
  -47.50    3.8513    0.2471       0.005672       0.001403
  -42.50    4.6176    0.2668       0.002633       0.000703
  -37.50    5.6999    0.2406       0.000891       0.000215
  -32.50    6.8692    0.2677       0.000276        7.4e-05
  -27.50    8.1225    0.2580        7.9e-05          2e-05
  -22.50    9.7909    0.2465        1.5e-05          4e-06
  -17.50   11.0990    0.2530          4e-06          1e-06
  -12.50   12.6642    0.2635          1e-06              0
   -7.50   14.0360    0.2595              0              0
   -2.50   15.0837    0.2321              0              0
    2.50   15.7447    0.2301              0              0
    7.50   15.3519    0.2451              0              0
   12.50   14.5153    0.2272              0              0
   17.50   13.5944    0.2168              0              0
   22.50   12.6307    0.2164          1e-06              0
   27.50   11.2927    0.2187          3e-06          1e-06
   32.50    9.9405    0.2402        1.3e-05          3e-06
   37.50    8.7585    0.2087        4.2e-05          9e-06
   42.50    7.2465    0.2307       0.000189        4.4e-05
   47.50    6.4540    0.2426       0.000418       0.000102
   52.50    5.6373    0.2553       0.000948       0.000242
   57.50    5.5310    0.2431       0.001055       0.000257
   62.50    5.3590    0.2259       0.001253       0.000284
   67.50    5.8021    0.2376       0.000804       0.000191
   72.50    6.1131    0.2167       0.000589       0.000128
   77.50    6.8031    0.2219       0.000295        6.6e-05
   82.50    7.1699    0.2090       0.000204        4.3e-05
   87.50    7.8716    0.2260       0.000101        2.3e-05
   92.50    8.2784    0.2122        6.7e-05        1.4e-05
   97.50    8.6628    0.2192        4.6e-05          1e-05
  102.50    8.6796    0.2175        4.5e-05          1e-05
  107.50    9.0762    0.1877          3e-05          6e-06
  112.50    9.4201    0.1893        2.1e-05          4e-06
  117.50    9.1377    0.1834        2.8e-05          5e-06
  122.50    9.0010    0.1732        3.3e-05          6e-06
  127.50    8.5955    0.1747        4.9e-05          9e-06
  132.50    7.9997    0.1673        8.9e-05        1.5e-05
  137.50    7.2762    0.1709       0.000184        3.1e-05
  142.50    6.1613    0.1576       0.000561        8.9e-05
  147.50    4.8475    0.1349       0.002091       0.000283
  152.50    3.5378    0.1340       0.007764       0.001042
  157.50    2.3201    0.1224       0.026285       0.003222
  162.50    1.2540    0.0941       0.076455       0.007202
  167.50    0.4310    0.0727       0.174317       0.012693
  172.50    0.0000    0.0570       0.268418       0.015336
  177.50    0.3701    0.0723       0.185288       0.013425
