#Coor		Free		+/-		Prob		+/-
  133.75    7.8152    0.1970        5.6e-05        1.1e-05
  136.25    7.7771    0.1895        5.8e-05        1.1e-05
  138.75    6.9252    0.1895       0.000136        2.6e-05
  141.25    6.4991    0.1784       0.000208        3.7e-05
  143.75    5.9495    0.1675        0.00036          6e-05
  146.25    5.2153    0.1593       0.000751        0.00012
  148.75    4.6411    0.1605       0.001335       0.000215
  151.25    4.0408    0.1595       0.002435       0.000389
  153.75    3.2055    0.1509       0.005621       0.000849
  156.25    2.6719    0.1359       0.009591       0.001305
  158.75    2.0940    0.1566        0.01711       0.002684
  161.25    1.5686    0.1235       0.028957       0.003583
  163.75    1.0842    0.1126        0.04704       0.005303
  166.25    0.7310    0.1008       0.067001       0.006767
  168.75    0.2739    0.0943         0.1059       0.009998
  171.25    0.1170    0.0914       0.123919       0.011342
  173.75    0.0000    0.0785       0.139319       0.010948
  176.25    0.2386    0.0897       0.109709       0.009858
  178.75    0.6072    0.0943       0.075845       0.007161
