#Coor		Free		+/-		Prob		+/-
 -175.00    1.4562    0.0475       0.114959       0.005473
 -165.00    3.6076    0.1004       0.013329       0.001341
 -155.00    6.4944    0.1264        0.00074        9.4e-05
 -145.00    9.7582    0.2241        2.8e-05          6e-06
 -135.00   11.9730    0.2209          3e-06          1e-06
 -125.00   12.8077    0.2648          1e-06              0
 -115.00   12.3571    0.3037          2e-06          1e-06
 -105.00   10.3367    0.2810        1.6e-05          4e-06
  -95.00    7.5094    0.2892       0.000268        7.8e-05
  -85.00    4.7213    0.3013       0.004369       0.001318
  -75.00    2.9917    0.3142       0.024698       0.007772
  -65.00    2.7171    0.2906       0.032517       0.009462
  -55.00    3.2147    0.2884       0.019756       0.005706
  -45.00    4.4767    0.3038       0.005582       0.001698
  -35.00    6.8090    0.2935        0.00054       0.000159
  -25.00    9.3810    0.2772        4.1e-05        1.1e-05
  -15.00   12.0996    0.2812          3e-06          1e-06
   -5.00   14.9102    0.2572              0              0
    5.00   16.0461    0.2545              0              0
   15.00   14.1836    0.2367              0              0
   25.00   12.2950    0.2459          2e-06          1e-06
   35.00    9.3095    0.2564        4.4e-05        1.1e-05
   45.00    6.6534    0.2712       0.000631       0.000171
   55.00    5.3979    0.2840       0.002219       0.000631
   65.00    5.3983    0.2492       0.002218       0.000554
   75.00    6.1413    0.2312       0.001054       0.000244
   85.00    7.2423    0.2359        0.00035        8.3e-05
   95.00    8.2048    0.2192       0.000133        2.9e-05
  105.00    8.4987    0.2166        9.9e-05        2.2e-05
  115.00    9.0783    0.2021        5.6e-05        1.1e-05
  125.00    8.6280    0.1848        8.7e-05        1.6e-05
  135.00    7.4886    0.1720       0.000273        4.7e-05
  145.00    5.3292    0.1399       0.002377       0.000333
  155.00    2.8120    0.1172       0.029569       0.003471
  165.00    0.6811    0.0685       0.249838       0.017134
  175.00    0.0000    0.0420       0.494196        0.02078
